#  E (eV)   dos(E)     Int dos(E)
-21.104  0.3314E+00  0.6169E+00
-21.094  0.2313E+00  0.6192E+00
-21.084  0.1457E+00  0.6207E+00
-21.074  0.8258E-01  0.6215E+00
-21.064  0.4196E-01  0.6219E+00
-21.054  0.1908E-01  0.6221E+00
-21.044  0.7803E-02  0.6222E+00
-21.034  0.3095E-02  0.6222E+00
-21.024  0.1997E-02  0.6222E+00
-21.014  0.3805E-02  0.6223E+00
-21.004  0.1022E-01  0.6224E+00
-20.994  0.2581E-01  0.6226E+00
-20.984  0.5809E-01  0.6232E+00
-20.974  0.1160E+00  0.6244E+00
-20.964  0.2056E+00  0.6264E+00
-20.954  0.3232E+00  0.6297E+00
-20.944  0.4506E+00  0.6342E+00
-20.934  0.5573E+00  0.6397E+00
-20.924  0.6113E+00  0.6459E+00
-20.914  0.5947E+00  0.6518E+00
-20.904  0.5133E+00  0.6569E+00
-20.894  0.3929E+00  0.6609E+00
-20.884  0.2668E+00  0.6635E+00
-20.874  0.1607E+00  0.6651E+00
-20.864  0.8583E-01  0.6660E+00
-20.854  0.4067E-01  0.6664E+00
-20.844  0.1710E-01  0.6666E+00
-20.834  0.6397E-02  0.6666E+00
-20.824  0.2210E-02  0.6667E+00
-20.814  0.1007E-02  0.6667E+00
-20.804  0.1463E-02  0.6667E+00
-20.794  0.3910E-02  0.6667E+00
-20.784  0.1024E-01  0.6668E+00
-20.774  0.2408E-01  0.6671E+00
-20.764  0.5045E-01  0.6676E+00
-20.754  0.9445E-01  0.6685E+00
-20.744  0.1585E+00  0.6701E+00
-20.734  0.2396E+00  0.6725E+00
-20.724  0.3282E+00  0.6758E+00
-20.714  0.4104E+00  0.6799E+00
-20.704  0.4720E+00  0.6846E+00
-20.694  0.5027E+00  0.6896E+00
-20.684  0.4973E+00  0.6946E+00
-20.674  0.4568E+00  0.6992E+00
-20.664  0.3879E+00  0.7030E+00
-20.654  0.3023E+00  0.7061E+00
-20.644  0.2146E+00  0.7082E+00
-20.634  0.1378E+00  0.7096E+00
-20.624  0.7955E-01  0.7104E+00
-20.614  0.4113E-01  0.7108E+00
-20.604  0.1902E-01  0.7110E+00
-20.594  0.7960E-02  0.7111E+00
-20.584  0.3432E-02  0.7111E+00
-20.574  0.2791E-02  0.7111E+00
-20.564  0.5579E-02  0.7112E+00
-20.554  0.1349E-01  0.7113E+00
-20.544  0.3010E-01  0.7116E+00
-20.534  0.5981E-01  0.7122E+00
-20.524  0.1055E+00  0.7133E+00
-20.514  0.1651E+00  0.7149E+00
-20.504  0.2295E+00  0.7172E+00
-20.494  0.2842E+00  0.7201E+00
-20.484  0.3152E+00  0.7232E+00
-20.474  0.3173E+00  0.7264E+00
-20.464  0.2984E+00  0.7294E+00
-20.454  0.2758E+00  0.7321E+00
-20.444  0.2667E+00  0.7348E+00
-20.434  0.2777E+00  0.7376E+00
-20.424  0.3007E+00  0.7406E+00
-20.414  0.3183E+00  0.7438E+00
-20.404  0.3134E+00  0.7469E+00
-20.394  0.2796E+00  0.7497E+00
-20.384  0.2233E+00  0.7519E+00
-20.374  0.1587E+00  0.7535E+00
-20.364  0.1003E+00  0.7545E+00
-20.354  0.5634E-01  0.7551E+00
-20.344  0.2853E-01  0.7554E+00
-20.334  0.1426E-01  0.7555E+00
-20.324  0.1035E-01  0.7556E+00
-20.314  0.1559E-01  0.7558E+00
-20.304  0.3155E-01  0.7561E+00
-20.294  0.6152E-01  0.7567E+00
-20.284  0.1077E+00  0.7578E+00
-20.274  0.1674E+00  0.7595E+00
-20.264  0.2310E+00  0.7618E+00
-20.254  0.2826E+00  0.7646E+00
-20.244  0.3066E+00  0.7677E+00
-20.234  0.2953E+00  0.7706E+00
-20.224  0.2526E+00  0.7731E+00
-20.214  0.1932E+00  0.7751E+00
-20.204  0.1352E+00  0.7764E+00
-20.194  0.9393E-01  0.7774E+00
-20.184  0.7849E-01  0.7781E+00
-20.174  0.9195E-01  0.7791E+00
-20.164  0.1317E+00  0.7804E+00
-20.154  0.1889E+00  0.7823E+00
-20.144  0.2488E+00  0.7848E+00
-20.134  0.2932E+00  0.7877E+00
-20.124  0.3070E+00  0.7908E+00
-20.114  0.2853E+00  0.7936E+00
-20.104  0.2353E+00  0.7960E+00
-20.094  0.1724E+00  0.7977E+00
