#  E (eV)   dos(E)     Int dos(E)
  0.718  0.2120E+01  0.1141E+00
  0.719  0.2109E+01  0.1163E+00
  0.720  0.2098E+01  0.1184E+00
  0.721  0.2086E+01  0.1204E+00
  0.722  0.2073E+01  0.1225E+00
  0.723  0.2060E+01  0.1246E+00
  0.724  0.2045E+01  0.1266E+00
  0.725  0.2030E+01  0.1287E+00
  0.726  0.2015E+01  0.1307E+00
  0.727  0.1998E+01  0.1327E+00
  0.728  0.1982E+01  0.1346E+00
  0.729  0.1964E+01  0.1366E+00
  0.730  0.1947E+01  0.1386E+00
  0.731  0.1928E+01  0.1405E+00
  0.732  0.1910E+01  0.1424E+00
  0.733  0.1891E+01  0.1443E+00
  0.734  0.1872E+01  0.1462E+00
  0.735  0.1853E+01  0.1480E+00
  0.736  0.1833E+01  0.1498E+00
  0.737  0.1813E+01  0.1517E+00
  0.738  0.1794E+01  0.1535E+00
  0.739  0.1774E+01  0.1552E+00
  0.740  0.1754E+01  0.1570E+00
  0.741  0.1734E+01  0.1587E+00
  0.742  0.1713E+01  0.1604E+00
  0.743  0.1693E+01  0.1621E+00
  0.744  0.1673E+01  0.1638E+00
  0.745  0.1654E+01  0.1654E+00
  0.746  0.1634E+01  0.1671E+00
  0.747  0.1614E+01  0.1687E+00
  0.748  0.1594E+01  0.1703E+00
  0.749  0.1575E+01  0.1719E+00
  0.750  0.1556E+01  0.1734E+00
  0.751  0.1537E+01  0.1750E+00
  0.752  0.1518E+01  0.1765E+00
  0.753  0.1500E+01  0.1780E+00
  0.754  0.1482E+01  0.1795E+00
  0.755  0.1464E+01  0.1809E+00
  0.756  0.1447E+01  0.1824E+00
  0.757  0.1430E+01  0.1838E+00
  0.758  0.1413E+01  0.1852E+00
  0.759  0.1396E+01  0.1866E+00
  0.760  0.1380E+01  0.1880E+00
  0.761  0.1365E+01  0.1894E+00
  0.762  0.1350E+01  0.1907E+00
  0.763  0.1335E+01  0.1920E+00
  0.764  0.1321E+01  0.1934E+00
  0.765  0.1307E+01  0.1947E+00
  0.766  0.1294E+01  0.1960E+00
  0.767  0.1281E+01  0.1972E+00
  0.768  0.1268E+01  0.1985E+00
  0.769  0.1256E+01  0.1998E+00
  0.770  0.1245E+01  0.2010E+00
  0.771  0.1234E+01  0.2022E+00
  0.772  0.1224E+01  0.2035E+00
  0.773  0.1214E+01  0.2047E+00
  0.774  0.1204E+01  0.2059E+00
  0.775  0.1195E+01  0.2071E+00
  0.776  0.1187E+01  0.2083E+00
  0.777  0.1179E+01  0.2094E+00
  0.778  0.1171E+01  0.2106E+00
  0.779  0.1164E+01  0.2118E+00
  0.780  0.1158E+01  0.2129E+00
  0.781  0.1152E+01  0.2141E+00
  0.782  0.1146E+01  0.2152E+00
  0.783  0.1141E+01  0.2164E+00
  0.784  0.1136E+01  0.2175E+00
  0.785  0.1131E+01  0.2186E+00
  0.786  0.1127E+01  0.2198E+00
  0.787  0.1123E+01  0.2209E+00
  0.788  0.1120E+01  0.2220E+00
  0.789  0.1116E+01  0.2231E+00
  0.790  0.1114E+01  0.2242E+00
  0.791  0.1111E+01  0.2254E+00
  0.792  0.1108E+01  0.2265E+00
  0.793  0.1106E+01  0.2276E+00
  0.794  0.1104E+01  0.2287E+00
  0.795  0.1102E+01  0.2298E+00
  0.796  0.1101E+01  0.2309E+00
  0.797  0.1099E+01  0.2320E+00
  0.798  0.1097E+01  0.2331E+00
  0.799  0.1096E+01  0.2342E+00
  0.800  0.1094E+01  0.2353E+00
  0.801  0.1093E+01  0.2364E+00
  0.802  0.1091E+01  0.2374E+00
  0.803  0.1090E+01  0.2385E+00
  0.804  0.1088E+01  0.2396E+00
  0.805  0.1086E+01  0.2407E+00
  0.806  0.1084E+01  0.2418E+00
  0.807  0.1082E+01  0.2429E+00
  0.808  0.1080E+01  0.2440E+00
  0.809  0.1077E+01  0.2450E+00
  0.810  0.1075E+01  0.2461E+00
  0.811  0.1072E+01  0.2472E+00
  0.812  0.1069E+01  0.2482E+00
  0.813  0.1065E+01  0.2493E+00
