#  E (eV)   dos(E)     Int dos(E)
 -1.906  0.7086E-01  0.5935E+00
 -1.896  0.1066E+00  0.5946E+00
 -1.886  0.1647E+00  0.5962E+00
 -1.876  0.2348E+00  0.5985E+00
 -1.866  0.3004E+00  0.6016E+00
 -1.856  0.3444E+00  0.6050E+00
 -1.846  0.3574E+00  0.6086E+00
 -1.836  0.3437E+00  0.6120E+00
 -1.826  0.3202E+00  0.6152E+00
 -1.816  0.3066E+00  0.6183E+00
 -1.806  0.3134E+00  0.6214E+00
 -1.796  0.3355E+00  0.6248E+00
 -1.786  0.3550E+00  0.6283E+00
 -1.776  0.3526E+00  0.6318E+00
 -1.766  0.3189E+00  0.6350E+00
 -1.756  0.2588E+00  0.6376E+00
 -1.746  0.1872E+00  0.6395E+00
 -1.736  0.1203E+00  0.6407E+00
 -1.726  0.6865E-01  0.6414E+00
 -1.716  0.3482E-01  0.6417E+00
 -1.706  0.1591E-01  0.6419E+00
 -1.696  0.7280E-02  0.6420E+00
 -1.686  0.5460E-02  0.6420E+00
 -1.676  0.9535E-02  0.6421E+00
 -1.666  0.2145E-01  0.6423E+00
 -1.656  0.4536E-01  0.6428E+00
 -1.646  0.8569E-01  0.6436E+00
 -1.636  0.1438E+00  0.6451E+00
 -1.626  0.2146E+00  0.6472E+00
 -1.616  0.2852E+00  0.6501E+00
 -1.606  0.3397E+00  0.6535E+00
 -1.596  0.3668E+00  0.6571E+00
 -1.586  0.3674E+00  0.6608E+00
 -1.576  0.3547E+00  0.6644E+00
 -1.566  0.3459E+00  0.6678E+00
 -1.556  0.3506E+00  0.6713E+00
 -1.546  0.3637E+00  0.6750E+00
 -1.536  0.3695E+00  0.6787E+00
 -1.526  0.3521E+00  0.6822E+00
 -1.516  0.3061E+00  0.6852E+00
 -1.506  0.2393E+00  0.6876E+00
 -1.496  0.1675E+00  0.6893E+00
 -1.486  0.1059E+00  0.6904E+00
 -1.476  0.6425E-01  0.6910E+00
 -1.466  0.4598E-01  0.6915E+00
 -1.456  0.5172E-01  0.6920E+00
 -1.446  0.8133E-01  0.6928E+00
 -1.436  0.1330E+00  0.6941E+00
 -1.426  0.2003E+00  0.6961E+00
 -1.416  0.2694E+00  0.6988E+00
 -1.406  0.3219E+00  0.7020E+00
 -1.396  0.3413E+00  0.7055E+00
 -1.386  0.3209E+00  0.7087E+00
 -1.376  0.2676E+00  0.7113E+00
 -1.366  0.1979E+00  0.7133E+00
 -1.356  0.1298E+00  0.7146E+00
